,Accuracy,Precision,Recall,F1,ROC-AUC,LogLoss
Baseline: 主場必勝,0.5558265582655827,0.5558265582655827,1.0,0.7145096673053475,0.5,0.6870166617600127
Baseline: 多數類別,0.5558265582655827,0.5558265582655827,1.0,0.7145096673053475,0.5,0.6870166617600127
Logistic Regression,0.6384823848238482,0.6509473684210526,0.7537786445636275,0.6985991866244916,0.6907953351822604,0.6312446954092644
