,Accuracy,Precision,Recall,F1,ROC-AUC,LogLoss
Logistic Regression,0.6384823848238482,0.6509473684210526,0.7537786445636275,0.6985991866244916,0.6907953351822604,0.6312446954092644
Decision Tree,0.6330623306233062,0.6560680698611733,0.7142857142857143,0.6839402427637722,0.662047174714101,0.6694543024996374
XGBoost,0.6422764227642277,0.657339647008179,0.7445148707947343,0.6982167352537723,0.6901518894784581,0.6311467885971069
